"Job.Titles","Department","Annual.Salary"
"LEGISLATIVE AIDE","CITY COUNCIL",22248
"FREEDOM OF INFORMATION ACT OFFICER","POLICE",66984
"ENVIRONMENTAL ENGINEER III","HEALTH",122112
"ENGINEERING TECHNICIAN VI","TRANSPORTN",123696
"TESTING ADMINISTRATOR","HUMAN RESOURCES",58044
"PUBLIC HEALTH ADMINISTRATOR I","HEALTH",89388
"INFECTION PREVENTION SPECIALIST","HEALTH",97260
"POLICE COMMUNICATIONS OPERATOR I","OEMC",94368
"SUPERVISING FIRE COMMUNICATIONS OPERATOR","OEMC",129063.96
"LIBRARIAN I","PUBLIC LIBRARY",72624
"SERGEANT","POLICE",118836
"ADMINISTRATIVE ASST III","BUSINESS AFFAIRS",89388
"POLICE OFFICER","POLICE",109236
"FIRE ENGINEER-EMT","FIRE",118830
"ASST CHIEF AIRPORT OPERATIONS SUPVSR","AVIATION",135684
"PARAMEDIC I/C","FIRE",96246
"ADMINISTRATIVE ASST II","AVIATION",44808
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER (PER ARBITRATORS AWARD)-EMT","FIRE",122274
"POLICE OFFICER/EXPLSV DETECT K9 HNDLR","POLICE",107490
"POLICE OFFICER","POLICE",86730
"BRIDGE OPERATOR","TRANSPORTN",74220
"SERGEANT","POLICE",130596
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",98904
"FIREFIGHTER-EMT","FIRE",105936
"ACCOUNTING TECHNICIAN","FINANCE",53088
"ALDERMANIC AIDE","CITY COUNCIL",52512
"CRIMINAL INTELLIGENCE ANALYST","POLICE",78252
"PARAMEDIC","FIRE",62466
"PARAMEDIC I/C","FIRE",101052
"POLICE OFFICER","POLICE",86730
"LIEUTENANT","POLICE",142296
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"ANIMAL CONTROL OFFICER","ANIMAL CONTRL",78384
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",54672
"STREET LIGHT REPAIR WORKER","TRANSPORTN",117624
"SERGEANT","POLICE",126504
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",103578
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",78024
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"FIREFIGHTER/PARAMEDIC","FIRE",87348
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",98940
"ALDERMANIC AIDE","CITY COUNCIL",36000
"SERGEANT","POLICE",118836
"SERGEANT","POLICE",122568
"FOREMAN OF STREET LIGHT REPAIRMEN","TRANSPORTN",129063.96
"FIREFIGHTER-EMT","FIRE",94152
"FILTRATION ENGINEER II","WATER MGMNT",70428
"LIBRARIAN I","PUBLIC LIBRARY",84936
"LIEUTENANT-EMT","FIRE",130908
"ASST DIR OF NEWS AFFAIRS","POLICE",125088
"FIREFIGHTER-EMT","FIRE",98904
"BATTALION CHIEF - EMT","FIRE",161082
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",94152
"POLICE OFFICER","POLICE",54672
"FIREFIGHTER-EMT","FIRE",110196
"FINANCIAL ANALYST","AVIATION",63780
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"WATER CHEMIST II","WATER MGMNT",72624
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)","POLICE",107490
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",102372
"SANITARIAN II","HEALTH",64992
"SANITATION CLERK","STREETS & SAN",53064
"POLICE COMMUNICATIONS OPERATOR I","OEMC",90036
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",95586
"CLINICAL THERAPIST III","HEALTH",84084
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",109236
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"CHIEF VOUCHER EXPEDITER","FINANCE",112716
"CIVIL ENGINEER IV","TRANSPORTN",97080
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",103578
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",102372
"ADMINISTRATIVE ASST III","PUBLIC SAFETY ADMIN",85344
"PUBLIC HEALTH ADMINISTRATOR II","HEALTH",66984
"GENERAL MANAGER OF AIRPORT OPERATIONS","AVIATION",114384
"STAFF ASST","HEALTH",98016
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"POLICE OFFICER","POLICE",102372
"COORDINATING ARCHITECT","AVIATION",111000
"POLICE OFFICER","POLICE",95586
"PUBLIC HEALTH ADMINISTRATOR II","HEALTH",64992
"POLICE OFFICER","POLICE",54672
"POLICE COMMUNICATIONS OPERATOR I","OEMC",53340
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",98904
"PUBLIC HEALTH NUTRITIONIST III","HEALTH",76344
"LIBRARY ASSOCIATE","PUBLIC LIBRARY",65952
"FIREFIGHTER-EMT","FIRE",105936
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",78024
"ASST COMMISSIONER","HOUSING & ECON DEV",108816
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",103578
"FIREFIGHTER-EMT","FIRE",98904
"PUBLIC HEALTH ADMINISTRATOR II","HEALTH",64992
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",90990
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"FIRE ENGINEER-EMT","FIRE",122274
"CLERK - BD OF ELECTIONS","BOARD OF ELECTION",30060
"POLICE OFFICER","POLICE",102372
"POLICE COMMUNICATIONS OPERATOR II","OEMC",64272
"STREET LIGHT REPAIR WORKER","TRANSPORTN",117624
"ASST CORPORATION COUNSEL SUPVSR","LAW",116784
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",102372
"FIREFIGHTER-EMT","FIRE",94152
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",102372
"PUBLIC HEALTH NURSE II","HEALTH",112848
"POLICE OFFICER","POLICE",106170
"TRAFFIC SIGNAL REPAIRMAN","TRANSPORTN",117624
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",54672
"CAPTAIN","POLICE",155658
"SERGEANT","POLICE",130596
"SANITATION CLERK","STREETS & SAN",77736
"LIEUTENANT-EMT","FIRE",130908
"POLICE OFFICER","POLICE",82458
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",100398
"POLICE OFFICER","POLICE",95586
"SENIOR CLERK-ELECTIONS","BOARD OF ELECTION",38472
"POLICE OFFICER","POLICE",78024
"POLICE OFFICER","POLICE",90990
"SR TESTING / ASSESSMENT SPEC","HUMAN RESOURCES",97260
"POLICE OFFICER","POLICE",109236
"FIREFIGHTER-EMT","FIRE",105936
"FILTRATION ENGINEER IV","WATER MGMNT",92844
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",98904
"POLICE TECHNICIAN","POLICE",107490
"COMMANDER","POLICE",175944
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",102372
"DEPUTY COMMISSIONER","TRANSPORTN",142404
"LIBRARIAN I","PUBLIC LIBRARY",84936
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",86730
"RECRUITER","HUMAN RESOURCES",110688
"POLICE OFFICER","POLICE",109236
"ENGINEERING TECHNICIAN III","TRANSPORTN",53088
"POLICE OFFICER","POLICE",78024
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",86730
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",106170
"AVIATION SECURITY OFFICER","AVIATION",94368
"SUPERVISING VIDEOGRAPHER","BUSINESS AFFAIRS",94704
"POLICE OFFICER","POLICE",109236
"STATION LABORER","WATER MGMNT",48610.08
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER-EMT","FIRE",105936
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",102372
"FILTRATION ENGINEER IV","WATER MGMNT",122112
"POLICE OFFICER","POLICE",95586
"CIVIL ENGINEER V","TRANSPORTN",101472
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",95586
"COMMUNICABLE DISEASE CONTROL INVESTIGATOR II","HEALTH",85344
"POLICE COMMUNICATIONS OPERATOR II","OEMC",67284
"POLICE OFFICER","POLICE",102372
"MANAGER OF POLICE PAYROLLS","PUBLIC SAFETY ADMIN",114384
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",54672
"AMBULANCE COMMANDER","FIRE",138828
"PROJECT COORD","AVIATION",63780
"LIEUTENANT-EMT","FIRE",135144
"CERTIFICATION - COMPLIANCE OFFICER","PROCUREMENT",70428
"LIEUTENANT","POLICE",146652
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",111492
"POLICE COMMUNICATIONS OPERATOR I","OEMC",68196
"PARAMEDIC I/C","FIRE",96246
"FIREFIGHTER-EMT","FIRE",110196
"POLICE OFFICER","POLICE",95586
"SERGEANT","POLICE",126504
"SERGEANT","POLICE",122568
"STAFF ASST","FINANCE",102732
"POLICE OFFICER","POLICE",54672
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICE OFFICER","POLICE",109236
"LEAD ACCOUNTANT","FINANCE",111816
"DIR OF ADMINISTRATION I","HEALTH",66804
"ADMINISTRATIVE ASST II","AVIATION",74280
"PARAMEDIC I/C","FIRE",104430
"FIREFIGHTER-EMT","FIRE",110196
"PAYMENT SERVICES REPRESENTATIVE","CITY CLERK",55620
"HR GENERALIST - DHR","HUMAN RESOURCES",69180
"BRIDGE OPERATOR","TRANSPORTN",85308
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",102372
"LIBRARY CLERK","PUBLIC LIBRARY",58872
"ADMINISTRATIVE ASST II","BUILDINGS",77772
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",54672
"IT SECURITY SPECIALIST","DAIS",102612
"CHIEF PROGRAMMER/ANALYST","WATER MGMNT",142176
"POLICE OFFICER","POLICE",95586
"CHIEF VOUCHER EXPEDITER","TRANSPORTN",76992
"DEPUTY COMMISSIONER","AVIATION",142404
"CRIMINAL HISTORY ANALYST","POLICE",107700
"SENIOR RESEARCH ANALYST","HOUSING & ECON DEV",93780
"FIELD SERVICE SPECIALIST III","TRANSPORTN",80616
"CHIEF AIRPORT OPERATIONS SUPVSR","AVIATION",103920
"POLICE OFFICER","POLICE",95586
"DIR OF INFORMATION SYSTEMS","FAMILY & SUPPORT",119028
"PARAMEDIC","FIRE",84612
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",109236
"PERSONAL COMPUTER OPERATOR I","POLICE",64620
"PUBLIC HEALTH NURSE IV","HEALTH",118428
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",100398
"LIBRARIAN I","PUBLIC LIBRARY",72624
"POLICE OFFICER","POLICE",95586
"PUBLIC HEALTH NURSE II","HEALTH",75492
"POLICE OFFICER","POLICE",90990
"ANIMAL CONTROL OFFICER","ANIMAL CONTRL",78384
"SERGEANT","POLICE",130596
"ADMINISTRATIVE ASST III","PUBLIC LIBRARY",93660
"POLICE OFFICER","POLICE",95586
"LIEUTENANT-EMT","FIRE",130908
"ASST TO THE ALDERMAN","CITY COUNCIL",107628
"LIEUTENANT-EMT","FIRE",135144
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"AVIATION SECURITY OFFICER","AVIATION",78384
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"DETENTION AIDE","POLICE",62136
"SUPVSR OF VOUCHER AUDITING","AVIATION",58116
"ACCOUNTANT","FAMILY & SUPPORT",102732
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",82458
"ADMINISTRATIVE ASST III","OEMC",89388
"PUBLIC HEALTH ADMINISTRATOR III","HEALTH",123696
"PARAMEDIC","FIRE",76122
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",78024
"DEPUTY COMPTROLLER","FINANCE",134172
"POLICE OFFICER","POLICE",54672
"FILTRATION ENGINEER III","WATER MGMNT",84084
"POLICE OFFICER","POLICE",95586
"LIEUTENANT","FIRE",127410
"ASSOCIATE HUMAN RESOURCES BUSINESS PARTNER-EXCLD","HOUSING & ECON DEV",60876
"POLICE OFFICER","POLICE",106170
"CIVIL ENGINEER IV","AVIATION",92844
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",107028
"FIREFIGHTER-EMT (RECRUIT)","FIRE",62466
"POLICE OFFICER","POLICE",95586
"BUILDING/CONSTRUCTION INSPECTOR","BUILDINGS",97032
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",98904
"SERGEANT","POLICE",126504
"FIREFIGHTER-EMT","FIRE",98904
"FIREFIGHTER/PARAMEDIC","FIRE",101262
"COORDINATING PLANNER","TRANSPORTN",107748
"SERGEANT","POLICE",122568
"SERGEANT","POLICE",126504
"COORD OF SPECIAL PROJECTS","BUSINESS AFFAIRS",114012
"BUILDING/CONSTRUCTION INSPECTOR","BUILDINGS",135684
"ADMINISTRATIVE ASST II","FAMILY & SUPPORT",77772
"SANITARY ENGINEER II","WATER MGMNT",76344
"SR TESTING / ASSESSMENT SPEC","HUMAN RESOURCES",97260
"SHIFT SUPVSR OF SECURITY COMMUNICATIONS CENTER","AVIATION",67908
"POLICE COMMUNICATIONS OPERATOR II","OEMC",64272
"STAFF ASST","FAMILY & SUPPORT",102732
"PARKING ENFORCEMENT AIDE","FINANCE",46416
"PROJECT COORD","FINANCE",66804
"SERGEANT","POLICE",122568
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",95586
"CENTRAL VOUCHER COORDINATOR","FINANCE",53088
"FIREFIGHTER-EMT (RECRUIT)","FIRE",62466
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"FIREFIGHTER-EMT","FIRE",94152
"BATTALION CHIEF - EMT","FIRE",165858
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"LIBRARIAN I","PUBLIC LIBRARY",62712
"POLICE OFFICER","POLICE",102372
"ENGINEERING TECHNICIAN VI","TRANSPORTN",112716
"ASST DISTRICT SUPERINTENDENT","WATER MGMNT",120536.04
"AVIATION SECURITY OFFICER","AVIATION",55932
"CASE LIAISON - COPA","COPA",59184
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",95586
"SERGEANT","POLICE",122568
"POLICE OFFICER","POLICE",95586
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"POLICE OFFICER","POLICE",90990
"SANITARIAN II","HEALTH",66984
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",107490
"SHIFT SUPVSR OF AIRPORT GROUND TRANSPORTATION","AVIATION",60876
"POLICE OFFICER","POLICE",54672
"PARAMEDIC I/C","FIRE",101052
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"PARKING INVESTIGATOR","FINANCE",78672
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",90990
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",102372
"LEGISLATIVE AIDE","CITY COUNCIL",94992
"PUBLIC HEALTH NURSE I","HEALTH",71856
"POLICE OFFICER","POLICE",82458
"ASST CORPORATION COUNSEL III","LAW",92616
"WEB AUTHOR","CITY CLERK",98016
"PSYCHIATRIC NURSE PRACTIONER","HEALTH",120204
"LIBRARIAN IV","PUBLIC LIBRARY",97080
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",54672
"FIREFIGHTER/PARAMEDIC","FIRE",96402
"ENGINEERING TECHNICIAN IV","TRANSPORTN",77772
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",54672
"LIEUTENANT","POLICE",142296
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)","POLICE",111492
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"POLICE OFFICER","POLICE",95586
"CAPTAIN-EMT","FIRE",151764
"POLICE OFFICER","POLICE",95586
"WATER METER ASSESSOR","WATER MGMNT",70104
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER/PARAMEDIC","FIRE",101262
"POLICE OFFICER","POLICE",95586
"ADMINISTRATIVE ASST II","AVIATION",67668
"PARAMEDIC","FIRE",62466
"POLICE OFFICER","POLICE",82458
"POLICE OFFICER","POLICE",90990
"LIEUTENANT","POLICE",146652
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",54672
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",107490
"PARAMEDIC FIELD CHIEF","FIRE",156396
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",90990
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",54672
"BUILDING/CONSTRUCTION INSPECTOR","BUILDINGS",112668
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"ASST TO THE COMMISSIONER","PROCUREMENT",69060
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"PUBLIC HEALTH ADMINISTRATOR II","HEALTH",102732
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",95586
"CLERK - BD OF ELECTIONS","BOARD OF ELECTION",33180
"ADMINISTRATIVE ASST II","WATER MGMNT",74280
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)","POLICE",114822
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"FIREFIGHTER-EMT","FIRE",94152
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"DIR OF INFORMATION SYSTEMS","DAIS",132480
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC","FIRE",125202
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER","POLICE",86730
"ASST CHIEF AIRPORT OPERATIONS SUPVSR","AVIATION",129528
"FIREFIGHTER/PARAMEDIC","FIRE",101262
"DEPUTY MANAGING EDITOR COUNCIL JOURNAL","CITY CLERK",119436
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",102372
"SERGEANT","POLICE",122568
"LIEUTENANT-EMT","FIRE",130908
"WATER CHEMIST II","WATER MGMNT",63960
"ASST CORPORATION COUNSEL SUPVSR","LAW",140616
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"POLICE OFFICER","POLICE",78024
"POLICE OFFICER","POLICE",54672
"BUILDING/CONSTRUCTION INSPECTOR","BUILDINGS",112668
"COORDINATING ENGINEER I","WATER MGMNT",121404
"PARKING INVESTIGATOR","FINANCE",78672
"SENIOR LIBRARY CLERK","PUBLIC LIBRARY",37224
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",106170
"DETENTION AIDE","POLICE",82104
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER (ASSIGNED AS CANINE HANDLER)","POLICE",107490
"PORTFOLIO MANAGER","TREASURER",100500
"FILTRATION ENGINEER V","WATER MGMNT",133488
"POLICE COMMUNICATIONS OPERATOR I","OEMC",68196
"POLICE OFFICER","POLICE",95586
"AIRPORT OPERATIONS SUPVSR II","AVIATION",102696
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",78024
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",95586
"LIEUTENANT","POLICE",142296
"FIRE COMMUNICATIONS OPERATOR II","OEMC",106200
